I, [2017-08-31T19:52:51.494662 #30477]  INFO -- Kitchen: -----> Starting Kitchen (v1.16.0)
E, [2017-08-31T19:52:51.495236 #30477] ERROR -- Kitchen: ------Exception-------
E, [2017-08-31T19:52:51.495301 #30477] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2017-08-31T19:52:51.495351 #30477] ERROR -- Kitchen: Message: Kitchen YAML file /home/chef/.kitchen.yml does not exist.
E, [2017-08-31T19:52:51.495410 #30477] ERROR -- Kitchen: ----------------------
E, [2017-08-31T19:52:51.495935 #30477] ERROR -- Kitchen: ------Backtrace-------
E, [2017-08-31T19:52:51.496001 #30477] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/loader/yaml.rb:71:in `read'
E, [2017-08-31T19:52:51.496049 #30477] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:152:in `data'
E, [2017-08-31T19:52:51.496094 #30477] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:131:in `suites'
E, [2017-08-31T19:52:51.496139 #30477] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2017-08-31T19:52:51.496184 #30477] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2017-08-31T19:52:51.496229 #30477] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:117:in `instances'
E, [2017-08-31T19:52:51.496273 #30477] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2017-08-31T19:52:51.496318 #30477] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2017-08-31T19:52:51.496362 #30477] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/command/test.rb:40:in `block in call'
E, [2017-08-31T19:52:51.496440 #30477] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.4.0/benchmark.rb:293:in `measure'
E, [2017-08-31T19:52:51.496493 #30477] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/command/test.rb:38:in `call'
E, [2017-08-31T19:52:51.496541 #30477] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:53:in `perform'
E, [2017-08-31T19:52:51.496587 #30477] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:234:in `test'
E, [2017-08-31T19:52:51.496631 #30477] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2017-08-31T19:52:51.496676 #30477] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2017-08-31T19:52:51.496720 #30477] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2017-08-31T19:52:51.496775 #30477] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2017-08-31T19:52:51.496822 #30477] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2017-08-31T19:52:51.496866 #30477] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/bin/kitchen:13:in `block in <top (required)>'
E, [2017-08-31T19:52:51.496923 #30477] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2017-08-31T19:52:51.496969 #30477] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/bin/kitchen:13:in `<top (required)>'
E, [2017-08-31T19:52:51.497014 #30477] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:263:in `load'
E, [2017-08-31T19:52:51.497057 #30477] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:263:in `<main>'
E, [2017-08-31T19:52:51.497110 #30477] ERROR -- Kitchen: ----End Backtrace-----
